"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (name)","EstablishmentTypeGroup (name)","EstablishmentStatus (name)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (name)","Gender (name)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (name)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (name)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadPreferredJobTitle","InspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","SEN5 (name)","SEN6 (name)","SEN7 (name)","SEN8 (name)","SEN9 (name)","SEN10 (name)","SEN11 (name)","SEN12 (name)","SEN13 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (name)","DistrictAdministrative (name)","AdministrativeWard (name)","ParliamentaryConstituency (name)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","CensusAreaStatisticWard (name)","MSOA (name)","LSOA (name)","Inspectorate (name)","SENStat","SENNoStat","PropsName","OfstedRating (name)","RSCRegion (name)","Country (name)","UPRN","SiteName","MSOA (code)","LSOA (code)"
20399,"850","Hampshire","","Branches Children's Centre","Children's centre","Children's Centres","Open","","21-02-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Horndean Technology College","Barton Cross","Horndean","","Hampshire","PO8 9PQ","http://www.actionforchildren.org.uk/our-services/branches-childrens-centre","02392-240077","","Jo","Alesbury","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","East Hampshire","Horndean Murray","Meon Valley","Urban city and town","X999999",469690,113127,"","East Hampshire 014","East Hampshire 014D","","","","","","South-East England and South London","","100062456360","","E02004710","E01022614"
20466,"850","Hampshire","","Sovereign and Strawberry Meadow Children's Centre","Children's centre","Children's Centres","Open","","26-02-2010","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Brookfield Community School","Brook Lane","Sarisbury Green","Fareham","Hampshire","SO31 7DU","http://www3.hants.gov.uk/childrens-services/sovereign-cc.htm","01329-841097","","Sarah","Gibbs","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Fareham","Park Gate","Fareham","Urban city and town","X999999",450431,107482,"","Fareham 006","Fareham 006A","","","","","","South-East England and South London","","100062525237","","E02004732","E01022755"
20488,"851","Portsmouth","","Buckland Sure Start Children's Centre","Children's centre","Children's Centres","Open","","01-03-2005","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Sure Start Centre","Turner Rd","Buckland","Portsmouth","Hampshire","PO1 4PN","","023-92733440","","Sue","Stocker","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Portsmouth","Charles Dickens","Portsmouth South","Urban city and town","X999999",464735,101016,"","Portsmouth 013","Portsmouth 013C","","","","","","South-East England and South London","","1775119748","","E02003536","E01017038"
20521,"850","Hampshire","","Bushy Leaze Children's Centre","Children's centre","Children's Centres","Open","","13-08-2007","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Eastbrooke Road","Alton","","East Hampshire","Hampshire","GU34 2DR","http://www3.hants.gov.uk/childrens-services/bushy-leaze-cfc.htm","01420-87675","","Ann","Blackman","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","East Hampshire","Alton Eastbrooke","East Hampshire","Urban city and town","X999999",472069,139910,"","East Hampshire 002","East Hampshire 002A","","","","","","South-East England and South London","","1710026204","","E02004698","E01022574"
20525,"850","Hampshire","","Buttercups and Bunnies Children's Centre","Children's centre","Children's Centres","Open","","13-03-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Manor Field Infs School","Haydn Road","Brighton Hill","Basingstoke","Hampshire","RG22 4DH","http://www.actionforchildren.org.uk/our-services/buttercups-and-bunnies-childrens-centre","01256-331574","","Karen","Bamford","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Brighton Hill South","Basingstoke","Urban city and town","X999999",462052,149467,"","Basingstoke and Deane 019","Basingstoke and Deane 019D","","","","","","South-East England and South London","","100062460178","","E02004693","E01022479"
20527,"850","Hampshire","","Butterflies Children's Centre","Children's centre","Children's Centres","Open","","20-03-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Manor Infant School","Fernhill Road","Cove, Farnborough","Rushmoor","Hampshire","GU14 9DX","http://www.actionforchildren.org.uk/our-services/butterflies-and-dragonflies-childrens-centre","01252-511556","","Liz","Morley-Smith","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Rushmoor","West Heath","Aldershot","Urban city and town","X999999",485437,156772,"","Rushmoor 003","Rushmoor 003E","","","","","","South-East England and South London","","200003212238","","E02004804","E01023147"
20537,"850","Hampshire","","Cadland and Forest First Children's Centre","Children's centre","Children's Centres","Open","","31-03-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Whitefield Road","Holbury","","New Forest","Hampshire","SO45 2HW","http://www.actionforchildren.org.uk/our-services/forest-first-and-cadland-childrens-centre","02380-890877","","Tina","Monaghan","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","New Forest","Holbury and North Blackfield","New Forest East","Urban city and town","X999999",443310,103327,"","New Forest 013","New Forest 013D","","","","","","South-East England and South London","","100062533560","","E02004791","E01023033"
20620,"850","Hampshire","","Chamberlayne Children's Centre","Children's centre","Children's Centres","Open","","18-03-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Chamberlayne Road","","","Eastleigh","Hampshire","SO50 5JL","http://www.actionforchildren.org.uk/our-services/chamberlayne-childrens-centre","02380-684990","","Rebecca","Reeve","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Eastleigh","Eastleigh Central","Eastleigh","Urban city and town","X999999",445224,119051,"","Eastleigh 007","Eastleigh 007A","","","","","","South-East England and South London","","","","E02004718","E01022666"
20622,"850","Hampshire","","Caterpillar Hill Children's Centre","Children's centre","Children's Centres","Open","","26-02-2010","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Chandlers Ford Library","Oakmount Road","Chandlers Ford","Eastleigh","Hampshire","SO53 2LH","http://www.actionforchildren.org.uk/our-services/caterpillar-hill-childrens-centre","02380-684990","","Rebecca","Reeve","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Eastleigh","Hiltingbury East","Winchester","Urban city and town","X999999",444107,121063,"","Eastleigh 001","Eastleigh 001A","","","","","","South-East England and South London","","","","E02004712","E01022705"
20640,"850","Hampshire","","Chase Children's Centre","Children's centre","Children's Centres","Open","","29-09-2006","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Budds Lane","Bordon","","East Hampshire","Hampshire","GU35 0JB","http://www.actionforchildren.org.uk/our-services/chase-childrens-centre","01730-269663","","Liz","Morley-Smith","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","East Hampshire","Whitehill Pinewood","East Hampshire","Urban city and town","X999999",479469,135835,"","East Hampshire 004","East Hampshire 004C","","","","","","South-East England and South London","","100062347128","","E02004700","E01022639"
20707,"850","Hampshire","","Lily Pads and The Courtyard Children's Centre","Children's centre","Children's Centres","Open","","10-12-2009","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Chineham Library","Unit E","Chineham Shopping Centre, Chineham","Basingstoke","Hampshire","RG24 8BQ","http://www.actionforchildren.org.uk/our-services/lily-pads-and-the-courtyard-childrens-centre","01256-357028","","Karen","Bamford","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Chineham","Basingstoke","Urban city and town","X999999",465672,154315,"","Basingstoke and Deane 008","Basingstoke and Deane 008C","","","","","","South-East England and South London","","10000456508","","E02004682","E01022494"
20843,"852","Southampton","","Lordshill, Shirley Warren and Coxford Children's Centre.","Children's centre","Children's Centres","Open","","22-03-2007","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","The Warren Centre Sure Start","Shirley Warren Primary & Nursery School","Warren Crescent","Southampton","Hampshire","SO16 6AY","","02380878387","","Steve","Fish","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Southampton","Shirley","Southampton, Test","Urban city and town","X999999",439375,114617,"","Southampton 010","Southampton 010D","","","","","","South-East England and South London","","","","E02003558","E01017253"
20873,"850","Hampshire","","Crookhorn Lane Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Crookhorn Lane","Purbrook","Waterlooville","Havant","Hampshire","PO7 5QL","","02392-264701","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Havant","Purbrook","Havant","Urban city and town","X999999",468316,107002,"","Havant 011","Havant 011F","","","","","","South-East England and South London","","200000177681","","E02004772","E01022952"
20888,"851","Portsmouth","","Cumberland Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Devonshire Avenue Baptist Church","Winter Road (Office entrance)","","Portsmouth","Hampshire","PO4 9EQ","","023-92827392","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Portsmouth","Milton","Portsmouth South","Urban city and town","X999999",466264,99420,"","Portsmouth 021","Portsmouth 021A","","","","","","South-East England and South London","","1775020975","","E02003544","E01017094"
20942,"850","Hampshire","","Happy Valley Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Denmead Infant School","Hambledon Road","Denmead","Winchester","Hampshire","PO7 6PN","","07872-503923","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Winchester","Denmead","Meon Valley","Rural town and fringe","X999999",466130,111710,"","Winchester 014","Winchester 014E","","","","","","South-East England and South London","","100062454771","","E02004842","E01023234"
20981,"851","Portsmouth","","Drayton & Farlington Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Cosham Baptist Church","Havant Road","Cosham","Portsmouth","Hampshire","PO6 2QZ","","023-92-377610","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Portsmouth","Cosham","Portsmouth North","Urban city and town","X999999",466037,105618,"","Portsmouth 003","Portsmouth 003A","","","","","","South-East England and South London","","","","E02003526","E01017050"
21093,"850","Hampshire","","Turners Wood, Fleet Fireflies and Wild Rose Children's Centre","Children's centre","Children's Centres","Open","","26-02-2010","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Elvetham Heath Primary School","The Key","Elvetham Heath","Fleet","Hampshire","GU51 1DP","http://www.actionforchildren.org.uk/our-services/turners-wood-and-fleet-fireflies-and-wild-rose-childrens-centre","01252-813756","","Liz","morley-Smith","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Hart","Fleet West","North East Hampshire","Urban city and town","X999999",479841,155363,"","Hart 005","Hart 005E","","","","","","South-East England and South London","","10008957291","","E02004755","E01032852"
21184,"850","Hampshire","","Fleet Fireflies Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Fleet Library","236 Fleet Road","","Fleet","Hampshire","GU51 4BX","","01252-616909","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Hart","Fleet Central","North East Hampshire","Urban city and town","X999999",480613,153924,"","Hart 005","Hart 005B","","","","","","South-East England and South London","","","","E02004755","E01022862"
21198,"850","Hampshire","","Forest First Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Heather Road","Blackfield","","Southampton","Hampshire","SO45 1DZ","","02380-894425","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","New Forest","Holbury and North Blackfield","New Forest East","Urban city and town","X999999",444848,102642,"","New Forest 013","New Forest 013A","","","","","","South-East England and South London","","100062639480","","E02004791","E01023029"
21214,"851","Portsmouth","","Fratton Children's Centre","Children's centre","Children's Centres","Open","","20-11-2007","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Penhale Infant School","Lincoln Road","Fratton","Portsmouth","Hampshire","PO1 5BG","","023-92-734385","","Susan","Stocker","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Portsmouth","Fratton","Portsmouth South","Urban city and town","X999999",465347,100285,"","Portsmouth 015","Portsmouth 015E","","","","","","South-East England and South London","","1775064034","","E02003538","E01017080"
21216,"852","Southampton","","Freemantle Sure Start Children Centre","Children's centre","Children's Centres","Open","","22-03-2007","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Fryatt Centre","Freemantle School","Paynes Road, Freemantle","Southampton","Hampshire","SO15 3BY","","02380-238190","","Sean","Holehouse","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Southampton","Freemantle","Southampton, Test","Urban city and town","X999999",440464,112708,"","Southampton 021","Southampton 021D","","","","","","South-East England and South London","","100062505674","","E02003569","E01017195"
21222,"850","Hampshire","","Water Lilies Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Frogmore Infant School","Green Lane","Camberley","Hart","Hampshire","GU17 0NY","","01252-879254","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Hart","Yateley East","Aldershot","Urban city and town","X999999",483996,160062,"","Hart 003","Hart 003G","","","","","","South-East England and South London","","100062330304","","E02004753","E01022877"
21392,"850","Hampshire","","Little Saplings and Wisteria Children's Centre","Children's centre","Children's Centres","Open","","29-01-2010","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Oakwood Infant School","Church Lane","","Hartley Wintney","Hampshire","RG27 8DZ","http://www.actionforchildren.org.uk/our-services/wisteria-and-little-saplings-childrens-centre","01252-813756","","Liz","Morley-Smith","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Hart","Hartley Wintney","North East Hampshire","Rural town and fringe","X999999",476908,156335,"","Hart 004","Hart 004C","","","","","","South-East England and South London","","100062464183","","E02004754","E01022879"
21395,"850","Hampshire","","Haselbridge Children's Centre","Children's centre","Children's Centres","Open","","31-03-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Haselworth Primary School","Stone Lane","","Gosport","Hampshire","PO12 1SQ","http://www.actionforchildren.org.uk/our-services/haselbridge-childrens-centre","02392-513777","","Joanna","Alesbury","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Gosport","Town","Gosport","Urban city and town","X999999",460882,99464,"","Gosport 010","Gosport 010F","","","","","","South-East England and South London","","37030518","","E02004750","E01022845"
